,source,text,date,retweet_count,favorite_count,id_str,time
16979,Twitter for iPhone,"Our Country is doing so well in so many ways. Great jobs numbers, with a record setting December. We are rebuilding our military. Vets finally have Choice &amp; Accountability. Economy &amp; GDP are strong. Tax &amp; Reg cuts historic. Trade deals great. But we MUST fix our Southern Border!",2019-01-09,32999,162658,1083001986331672576,14:06:09.000000
17013,Twitter for iPhone,"Drug prices declined in 2018, the first time in nearly half a century. During the first 19 months of my Administration, Americans saved $26 Billion on prescription drugs. Our policies to get cheaper generic drugs to market are working!",2019-01-11,25338,115390,1083866566314389504,23:21:41.000000
17126,Twitter for iPhone,"Always heard that as President, “it’s all about the economy!” Well, we have one of the best economies in the history of our Country. Big GDP, lowest unemployment, companies coming back to the U.S. in BIG numbers, great new trade deals happening, &amp; more. But LITTLE media mention!",2019-01-20,23838,109033,1086966588752969728,12:40:04.000000
17305,Twitter for iPhone,"Today, it was my great honor to sign a Presidential Memorandum launching the Women’s Global Development and Prosperity Initiative. #WGDP 
Read more: https://t.co/qr3jevdayp https://t.co/HyIPPm4Q7b",2019-02-07,18327,84050,1093656560264466432,23:43:37.000000
17494,Twitter for iPhone,Since my election as President the Dow Jones is up 43% and the NASDAQ Composite almost 50%. Great news for your 401(k)s as they continue to grow. We are bringing back America faster than anyone thought possible!,2019-02-25,25928,120657,1100050798015401984,15:12:02.000000
17540,Twitter for iPhone,RT @realDonaldTrump: Since my election as President the Dow Jones is up 43% and the NASDAQ Composite almost 50%. Great news for your 401(k)…,2019-03-02,25998,0,1101856883634302976,14:48:47.000000
17586,Twitter for iPhone,"....Scott has helped us to lower drug prices, get a record number of generic drugs approved and onto the market, and so many other things. He and his talents will be greatly missed!",2019-03-05,12301,73011,1103036072005640192,20:54:27.000000
17634,Twitter for iPhone,RT @IvankaTrump: Happy International Women’s Day! #IWD2019 #WGDP @USAID @WhiteHouse https://t.co/DOX6vGeCZd,2019-03-08,5715,0,1104151403600203776,22:46:23.000000
17657,Twitter for iPhone,"RT @WhiteHouse: “Public optimism in their personal economy has hit a 16-year high under President Trump.""

“The job market doesn’t get much…",2019-03-10,12914,0,1104607932589723648,05:00:28.000000
17803,Twitter for iPhone,GDP growth during the four quarters of 2018 was the fastest since 2005. This Administration is the first on record to have experienced economic growth that meets or exceeds its own forecasts in each of its first two years in office. GROWTH is beating MARKET EXPECTATIONS!,2019-03-18,21643,87384,1107673256268623872,16:00:58.000000
17841,Twitter for iPhone,"RT @GOPChairwoman: You can't deny our economy is roaring:
 
*fastest GDP growth in 13 years
 
*1M more job openings than people looking for…",2019-03-22,20005,0,1108921192860315648,02:39:49.000000
